,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
5321,ASN00026062,1750-03,-36.9229,140.5809,52.0,"NARACOORTE BETTWS Y COED, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5322,ASN00026063,1969-03,-36.5667,140.55,25.0,"PADTHAWAY VALLEY VIEW PASTORA, AS",,,,,6.0,",a",3.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19690324.0,",,a",,,,,,,,,56.6,",,a,24,",,,,,,,81.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5323,ASN00026064,1969-03,-37.6333,140.8167,61.0,"TARPEENA EAST, AS",,,,,11.0,",a",4.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19690324.0,",,a",,,,,,,,,17.0,",,a,24,",,,,,,,35.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5324,ASN00026065,1968-12,-36.2789,139.8426,25.0,"SALT CREEK PITLOCHRY OUTSTATI, AS",,,,,3.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19681223.0,",,a",,,,,,,,,15.0,",,a,23,",,,,,,,18.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5325,ASN00026066,1969-03,-36.45,140.2833,30.0,"WILLALOOKA SECTION, AS",,,,,7.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19690324.0,",,a",,,,,,,,,18.0,",,a,24,",,,,,,,26.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5326,ASN00026067,1750-03,-37.9594,140.7703,21.0,"MOUNT SCHANK JETHIA, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500314.0,",2,a",,,,,,,,,0.2,"2,,a,14,",,,,,,,0.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5327,ASN00026068,1969-03,-37.2167,140.75,55.0,"KILLANOOLA, AS",,,,,13.0,",a",4.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19690324.0,",,a",,,,,,,,,17.5,",,a,24,",,,,,,,50.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5328,ASN00026069,1969-03,-36.8073,140.387,35.0,"LUCINDALE GREENVALE, AS",,,,,5.0,",a",2.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19690324.0,",,a",,,,,,,,,31.8,",,a,24,",,,,,,,37.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5329,ASN00026070,1970-12,-37.2667,140.1167,11.0,"KONETTA E AND WS, AS",,,15.2,"3,a",11.0,",a",6.0,",a",0.0,",a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",12.0,"2,a",4.0,"2,a",19701222.0,",2,a",,,,,,,19701205.0,",,a",19701226.0,",2,a",3.9,"2,a,22,",,,,,17.3,",,a,05,",37.8,"2,a,26,",,,89.8,"2,a",56.4,",,,a",,,15.78,"3,a",22.72,"2,,,a",8.85,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5330,ASN00026071,1970-12,-37.2068,140.1609,25.0,"GREENWAYS, AS",,,,,9.0,",a",5.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19701205.0,",,a",,,,,,,,,20.3,",,a,05,",,,,,,,57.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5331,ASN00026072,1971-01,-37.3,140.0667,11.0,"BEACHPORT BRAEMOOR, AS",,,,,6.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19710101.0,",,a",,,,,,,,,6.1,",,a,01,",,,,,,,11.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5332,ASN00026073,1971-01,-37.2167,140.0,6.1,"LAKE HAWDON, AS",,,,,4.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19710127.0,",,a",,,,,,,,,3.6,",,a,27,",,,,,,,7.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5333,ASN00026074,1971-03,-37.9167,140.85,40.0,"CAROLINE FOREST RESERVE, AS",,,,,5.0,",a",4.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19710315.0,",,a",,,,,,,,,24.4,",,a,15,",,,,,,,41.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5334,ASN00026075,1967-01,-37.1428,140.9498,115.0,"WRATTONBULLY JOEVILLE, AS",,,,,3.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19670115.0,",,a",,,,,,,,,7.6,",,a,15,",,,,,,,10.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5335,ASN00026076,1973-02,-37.6397,140.8586,69.0,"TARPEENA PLEASANT PARK, AS",,,,,5.0,",a",5.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19730206.0,",,a",,,,,,,,,33.5,",,a,06,",,,,,,,60.7,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5336,ASN00026077,1972-12,-37.3311,140.6978,58.0,"PENOLA WINDAMERE, AS",,,,,5.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19721217.0,",,a",,,,,,,,,3.6,",,a,17,",,,,,,,5.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,ASN00026078,1973-01,-36.9424,140.2362,23.0,"AVENUE DOWNER, AS",,,,,7.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19730131.0,",,a",,,,,,,,,6.4,",,a,31,",,,,,,,18.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5338,ASN00026079,1972-12,-37.0467,140.926,85.0,"NARACOORTE KOPPAMURRA, AS",,,,,5.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19721227.0,",,a",,,,,,,,,1.5,",,a,27,",,,,,,,3.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5339,ASN00026080,1973-05,-37.4833,140.45,36.3,"MILLICENT SECTION 28, AS",,,,,23.0,",a",10.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19730510.0,",,a",,,,,,,,,13.0,",,a,10,",,,,,,,70.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5340,ASN00026081,1973-01,-37.9667,140.85,38.0,"CAROLINE HEININGER, AS",,,,,8.0,",a",5.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19730114.0,",,a",,,,,,,,,12.2,",,a,14,",,,,,,,37.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5341,ASN00026082,1974-04,-37.0951,140.7911,65.0,"STRUAN, AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8,",a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5342,ASN00026083,1975-01,-36.2334,139.8494,25.0,"SALT CREEK PITLOCHRY HOMESTEA, AS",,,,,7.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19750124.0,",,a",,,,,,,,,13.2,",,a,24,",,,,,,,28.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5343,ASN00026084,1974-10,-36.1392,139.8814,18.0,"SALT CREEK KENDAL STATION, AS",,,,,13.0,",a",7.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19741016.0,",,a",,,,,,,,,35.2,",,a,16,",,,,,,,104.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5344,ASN00026085,1975-03,-37.8456,140.7686,85.0,"MOUNT GAMBIER BLUE LAKE HOLID, AS",,,,,13.0,",a",8.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19750319.0,",,a",,,,,,,,,16.2,",,a,19,",,,,,,,70.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5345,ASN00026086,1750-03,-37.3797,140.3294,30.0,"FURNER KENNION SECTION 235, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5346,ASN00026087,1979-05,-37.2633,140.68,50.0,"PENOLA BENDLEBY, AS",,,,,14.0,",a",8.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19790529.0,",,a",,,,,,,,,30.0,",,a,29,",,,,,,,80.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5347,ASN00026088,1979-12,-36.4006,140.2698,25.0,"WILLALOOKA YARDOOKRA, AS",,,,,5.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19791230.0,",,a",,,,,,,,,5.6,",,a,30,",,,,,,,16.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5348,ASN00026089,1977-01,-36.5958,140.4864,37.0,"PADTHAWAY, AS",,,,,10.0,",a",4.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19770114.0,",,a",,,,,,,,,9.2,",,a,14,",,,,,,,25.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,ASN00026090,1983-01,-38.0042,140.7078,15.0,"ALLENDALE EAST POST OFFICE, AS",,,,,9.0,",a",4.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19830126.0,",,a",,,,,,,,,12.0,",,a,26,",,,,,,,30.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,ASN00026091,1750-03,-37.2906,140.8254,57.0,"COONAWARRA, AS",,,66.5,"2,a",0.0,"3,a",0.0,"3,a",0.0,"3,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",28.0,"2,a",8.0,"2,a",17500315.0,",2,a",,,,,,,17500331.0,"+,3,a",17500304.0,",2,a",3.4,"2,a,15,",,,,,0.0,"3,,a,31,+",38.0,"2,a,04,",,,21.4,"2,a",0.0,"3,,,a",,,19.89,"2,a",28.83,"2,,,a",10.95,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5351,ASN00026092,1968-08,-37.1072,140.7242,55.0,"BOOL LAGOON GAME RESERVE, AS",,,,,23.0,",a",15.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19680809.0,",,a",,,,,,,,,11.2,",,a,09,",,,,,,,91.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352,ASN00026093,1967-01,-37.6039,140.4811,240.0,"MOUNT BURR TELECOM, AS",,,,,8.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19670113.0,",,a",,,,,,,,,7.1,",,a,13,",,,,,,,17.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5353,ASN00026094,1980-01,-36.9563,139.9947,8.0,"REEDY CREEK WOOLMIT, AS",,,,,5.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19800118.0,",,a",,,,,,,,,6.6,",,a,18,",,,,,,,14.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5354,ASN00026095,1750-03,-36.9655,139.7164,17.0,"CAPE JAFFA THE LIMESTONE, AS",,,20.9,"2,a",0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",25.0,"2,a",2.0,"2,a",17500325.0,",2,a",,,,,,,17500331.0,"+,2,a",17500321.0,",2,a",7.6,"2,a,25,",,,,,0.0,"2,,a,31,+",36.0,"2,a,21,",,,31.5,"2,a",0.0,"2,,,a",,,17.97,"2,a",23.59,"2,,,a",12.35,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,ASN00026096,1991-08,-37.3162,140.6992,58.0,"PENOLA ANDABAGO, AS",,,,,22.0,",a",17.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19910823.0,",,a",,,,,,,,,32.0,",,a,23,",,,,,,,154.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5356,ASN00026097,1992-08,-37.3932,140.6782,58.0,"PENOLA CAVES RANGE, AS",,,,,3.0,",a",3.0,",a",3.0,",a",,,,,,,,,,,,,,,,,,,,,,,19920814.0,",,a",,,,,,,,,44.0,",,a,14,",,,,,,,97.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5357,ASN00026098,1994-07,-37.5422,140.8137,70.0,"NANGWARRY FORESTRY SA DEPOT, AS",,,,,14.0,"5,a",8.0,"5,a",0.0,"5,a",,,,,,,,,,,,,,,,,,,,,,,19940712.0,",5,a",,,,,,,,,13.6,"5,,a,12,",,,,,,,84.8,",a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358,ASN00026099,1750-03,-36.9813,140.727,49.7,"NARACOORTE AERODROME, AS",,,69.4,"2,a",0.0,"3,a",0.0,"3,a",0.0,"3,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",28.0,"2,a",10.0,"2,a",17500315.0,",2,a",,,,,,,17500331.0,"+,3,a",17500304.0,",2,a",4.0,"2,a,15,",,,,,0.0,"3,,a,31,+",39.4,"2,a,04,",,,14.5,"2,a",0.0,"3,,,a",,,20.23,"2,a",29.79,"2,,,a",10.67,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5359,ASN00026100,1750-03,-36.6539,140.5212,35.0,"PADTHAWAY SOUTH, AS",,,71.3,"3,a",0.0,"3,a",0.0,"3,a",0.0,"3,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"3,a",28.0,"3,a",9.0,"3,a",17500315.0,",2,a",,,,,,,17500331.0,"+,3,a",17500304.0,",3,a",4.6,"2,a,15,",,,,,0.0,"3,,a,31,+",39.1,"3,a,04,",,,13.1,"3,a",0.0,"3,,,a",,,20.49,"3,a",29.98,"3,,,a",11.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5360,ASN00026101,1750-03,-37.4003,140.3351,30.0,"FURNER WOOMERA HOMESTEAD, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5361,ASN00026102,1750-03,-37.8221,140.7593,40.0,"MOUNT GAMBIER COUNCIL DEPOT, AS",,,,,1.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500302.0,",2,a",,,,,,,,,0.4,"2,,a,02,",,,,,,,0.6,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5362,ASN00026103,1750-03,-37.134,140.7273,52.0,"BOOL LAGOON LOCKSLEY FARM, AS",,,,,1.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500302.0,",2,a",,,,,,,,,0.4,"2,,a,02,",,,,,,,0.4,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5363,ASN00026104,1750-03,-36.8465,140.5592,42.0,"NARACOORTE VIEW BANK, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5364,ASN00026105,1750-03,-37.1776,139.8054,3.0,"ROBE AIRFIELD, AS",,,24.8,"2,a",0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",26.0,"2,a",3.0,"2,a",17500315.0,",2,a",,,,,,,17500329.0,"+,2,a",17500321.0,",2,a",3.7,"2,a,15,",,,,,0.2,"2,,a,29,+",36.7,"2,a,21,",,,38.7,"2,a",0.4,"2,,,a",,,17.85,"2,a",24.24,"2,,,a",11.47,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,ASN00026106,2003-04,-37.1039,140.0958,13.0,"ROBE BISCUIT FLAT, AS",,,,,7.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,20030408.0,",,a",,,,,,,,,12.6,",,a,08,",,,,,,,28.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5366,ASN00026107,1750-03,-36.437,140.3356,41.0,"WILLALOOKA NIOKA, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500302.0,",2,a",,,,,,,,,0.2,"2,,a,02,",,,,,,,0.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5367,ASN00026109,1750-03,-37.3818,139.9454,5.0,"LAKE GEORGE MAHARISHI VEDIC C, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5368,ASN00026110,1750-03,-36.7746,140.0222,30.0,"KINGSTON SE MOREVIEW, AS",,,,,0.0,"2,a",0.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500331.0,"+,2,a",,,,,,,,,0.0,"2,,a,31,+",,,,,,,0.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5369,ASN00026111,1984-01,-37.9268,140.4257,2.0,"PELICAN POINT, AS",,,,,7.0,"2,a",3.0,"2,a",0.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,19840102.0,",2,a",,,,,,,,,6.0,"2,,a,02,",,,,,,,18.8,",a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5370,ASN00026112,1990-01,-37.285,140.6927,50.0,"MAGPIE CORNER MURRAY S COTTAG, AS",,,,,2.0,",a",2.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19900111.0,",,a",,,,,,,,,9.0,",,a,11,",,,,,,,11.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5371,ASN00027000,1914-01,-13.3539,141.7208,13.0,"AURUKUN SHIRE COUNCIL, AS",,,,,20.0,",a",18.0,",a",6.0,",a",,,,,,,,,,,,,,,,,,,,,,,19140126.0,",,a",,,,,,,,,129.8,",,a,26,",,,,,,,448.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5372,ASN00027001,1913-12,-10.0,142.1667,5.0,"BADU MULGRAVE ISLAND, AS",,,,,10.0,",a",9.0,",a",4.0,",a",,,,,,,,,,,,,,,,,,,,,,,19131231.0,",,a",,,,,,,,,152.9,",,a,31,",,,,,,,328.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5373,ASN00027002,1926-12,-9.2333,142.2167,,"BOIGU, AS",,,,,12.0,",a",8.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19261227.0,",,a",,,,,,,,,40.4,",,a,27,",,,,,,,81.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5374,ASN00027003,1908-08,-10.6058,141.9142,19.2,"BOOBY ISLAND LIGHTHOUSE, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19080831.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5375,ASN00027004,1887-09,-10.7,142.5333,40.0,"CAPE YORK POST OFFICE, AS",,,,,1.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,18870903.0,",,a",,,,,,,,,0.3,",,a,03,",,,,,,,0.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5376,ASN00027005,1887-02,-13.9447,143.2006,199.0,"COEN POST OFFICE, AS",,,,,21.0,",a",16.0,",a",5.0,",a",,,,,,,,,,,,,,,,,,,,,,,18870211.0,",,a",,,,,,,,,74.7,",,a,11,",,,,,,,342.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5377,ASN00027006,1950-10,-13.7642,143.1178,160.5,"COEN AIRPORT EVAP, AS",,,,,2.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19501020.0,",,a",,,,,,,,,21.1,",,a,20,",,,,,,,21.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5378,ASN00027007,1927-02,-10.9,142.3167,,"COWELL CREEK, AS",,,,,13.0,",a",13.0,",a",5.0,",a",,,,,,,,,,,,,,,,,,,,,,,19270224.0,",,a",,,,,,,,,153.9,",,a,24,",,,,,,,483.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5379,ASN00027008,1915-04,-9.6,143.7,53.0,"DARNLEY ISLAND SCHOOL, AS",,,,,3.0,",a",3.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19150423.0,",,a",,,,,,,,,5.6,",,a,23,",,,,,,,14.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5380,ASN00027009,1926-12,-9.4,142.55,,"DAUAN ISLAND, AS",,,,,4.0,",a",2.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19261227.0,",,a",,,,,,,,,55.9,",,a,27,",,,,,,,62.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
